age,female,level,field1,field2,weight
20,0,1,6299,,144
20,0,2,1100,,40
20,0,2,2102,,124
20,0,2,2309,,53
20,0,2,2400,,433
20,0,2,2406,,123
20,0,2,2407,6201,59
20,0,2,2414,3401,102
20,0,2,2414,,179
20,0,2,3401,,103
20,0,2,4101,,36
20,0,2,5502,,54
20,0,2,6002,,220
20,0,2,6106,,62
20,0,2,6107,,115
20,0,2,6201,,322
20,0,2,6207,,188
20,0,3,4901,,630
20,1,0,,,2240176
20,1,1,1104,6201,35
20,1,1,1301,,143
20,1,1,1501,,336
20,1,1,1901,6001,89
20,1,1,1901,6206,88
20,1,1,1901,,194
20,1,1,1902,,161
20,1,1,1903,2105,131
20,1,1,1903,3301,177
20,1,1,1904,,17
20,1,1,2102,,63
20,1,1,2105,,101
20,1,1,2107,2502,112
20,1,1,2107,,242
20,1,1,2300,,899
20,1,1,2304,,163
20,1,1,2307,,7
20,1,1,2310,,55
20,1,1,2311,6402,166
20,1,1,2311,,124
20,1,1,2313,,87
20,1,1,2400,,253
20,1,1,2407,,113
20,1,1,2501,,231
20,1,1,2602,2603,121
20,1,1,2602,3700,78
20,1,1,2602,,205
20,1,1,2901,,340
20,1,1,3301,,621
20,1,1,3302,6002,42
20,1,1,3401,,1137
20,1,1,3402,5301,142
20,1,1,3600,6000,168
20,1,1,3600,,1063
20,1,1,3601,,316
20,1,1,3608,,40
20,1,1,3611,,85
20,1,1,3699,,38
20,1,1,4001,,66
20,1,1,4002,4101,80
20,1,1,4007,,163
20,1,1,4101,,400
20,1,1,4901,,557
20,1,1,5003,,397
20,1,1,5098,,216
20,1,1,5200,5506,156
20,1,1,5200,,2351
20,1,1,5299,,201
20,1,1,5301,,253
20,1,1,5404,,261
20,1,1,5501,6207,74
20,1,1,5501,,464
20,1,1,5503,,35
20,1,1,5505,,9
20,1,1,5506,,301
20,1,1,5507,,400
20,1,1,6000,,153
20,1,1,6001,,37
20,1,1,6002,,249
20,1,1,6004,,57
20,1,1,6100,,252
20,1,1,6103,,478
20,1,1,6105,,208
20,1,1,6107,,1308
20,1,1,6108,,303
20,1,1,6109,,263
20,1,1,6199,,130
20,1,1,6200,,1163
20,1,1,6201,,414
20,1,1,6203,,614
20,1,1,6204,6209,417
20,1,1,6206,,1138
20,1,1,6207,,566
20,1,1,6212,,126
20,1,1,6299,,606
20,1,1,6402,,45
20,1,2,1401,,130
20,1,2,1501,4001,72
20,1,2,1902,,120
20,1,2,2304,,294
20,1,2,2310,,31
20,1,2,2314,,108
20,1,2,2399,,103
20,1,2,2409,,60
20,1,2,2412,,12
20,1,2,3301,,86
20,1,2,3600,,78
20,1,2,3611,,80
20,1,2,3702,,63
20,1,2,5200,,170
20,1,2,5404,,365
20,1,2,6200,,390
20,1,2,6201,,50
21,0,0,,,2255881
21,0,1,1100,,199
21,0,1,1101,,52
21,0,1,1105,,481
21,0,1,1301,3600,263
21,0,1,1301,5004,73
21,0,1,1303,5301,36
21,0,1,1303,,454
21,0,1,1401,,884
21,0,1,1501,2603,55
21,0,1,1501,6005,97
21,0,1,1501,,177
21,0,1,1901,1903,309
21,0,1,1901,6206,158
21,0,1,1901,,1996
21,0,1,1902,6002,38
21,0,1,1902,,401
21,0,1,1903,1904,167
21,0,1,1903,2001,6
21,0,1,1903,2502,61
21,0,1,1903,,640
21,0,1,1904,,161
21,0,1,2001,,135
21,0,1,2100,5301,62
21,0,1,2100,6204,169
21,0,1,2100,,424
21,0,1,2102,2407,219
